留言內容,答案
 看到支畜持續在各國刷仇恨值 我就放心了,1
 因為現在是媒體訊息戰啊~中國說英國屈服,0
 中共談民主 鳳姐立貞潔牌坊,1
 海珊最和平 支那談民主,1
 法規怎麼寫就怎麼做 又沒什麼要拘留的必,0
 要,0
 英國不該表示嗎? 限制出境了沒有啊?,0
 到時候八國聯軍教中國做人就好玩惹ㄏㄏ,0
 標準中國人,0
 支那微博上面還一片叫好，根本世界奇觀,1
 英國只要回該名涉案記者限制出境,0
 就可以打臉中國了,1
 直接驅逐出境永久不得入境就好了,0
 現在只要這中國女記者回中國~那就勝利了,0
 英國是老牌人權言論自由國家 這種罪行也不,0
 me410那也要經由審判才可以啊,0
 智障,1
 西方現在應該對中國民主自由的幻想破滅,0
 算太重 很難抓去關啦 頂多驅除出境,0
 了，民主的定義已經被中共改得亂七八糟,0
 灌輸給中國人了。,0
 沒有審判~然後那記者回中國~,0
 那就真的是中國勝利了,0
 戰狼 XDDDDDD,1
 中國的老招式了 常常用別人的民主自由來,0
 惡意攻擊別人,0
 為何不告她打人？,0
 英國怕了 中國贏了,0
 支那賤畜真的很愛到民主自由的國家討,1
 自由,0
 中國必成最大贏家,0
 廠廠,1
 中國的民主 就是在別的國家民主,0
 這就是中國式的民主,0
 支那賤畜,1
 怎麼不敢在祖國土地喊自由，都在國外,0
 喊呢？,0
 有中國特色的民主 快笑死,1
 港人當年選擇回歸時屌的很 把台巴子踩在腳,0
 到國外引戰,0
 中國批評英國沒民主...哈哈,0
" 下,現在只能說活該",0
 香港人的確活該 當初也拿港英統治自傲,0
 中國:中國沒標榜有言論自由 才能亂搞,0
 英國也很孬啊呵呵,1
 國際笑話,0
 看台灣人很沒有,0
 戰狼Xdxdxd,1
 幹真他媽的好笑,0
 英國果然孬種,1
 真希望全世界好好打壓中國,0
 英國沒有民主，我是中國記者，馬上釋放,0
 可悲的人民,1
 打你都沒事,0
 支那水準,1
 推7樓，女皇都要哭了,0
 厲害了，腦殘國,1
 在英爹面前打打香港人真是痛快!,1
 支那人的文明程度真的落後全世界~_~,1
 果然426不懂民主，以為民主是做什麼都,1
 幹，太猛了。無恥沒下限啊,1
 可以,0
 英國中國開戰囉,0
 港人到現在對台人還是不友善 以前是瞧不起,0
 支那瘋子太多,1
 支那寶XDDDDD,1
 標準的阿Q精神勝利法 XDDD,0
 現在是忌妒:我沒人權你憑什麼有,0
 支那狗的笑話天天上演,1
 人權自助餐,1
 民主XD,1
 一個沒有言論自由的國家到處利用別國,0
 支那想幹嘛就幹嘛的低能兒,1
 的言論自由，真的很好笑,0
 釋放不是正常的嗎？不然要像冰冰那樣消失,0
 支那人每天都在鬧笑話XD,1
 人不要臉天下無敵女人種族加乘中國國籍加,1
 籠子裡的鳥 覺得自由是一種病 可憐,1
 打人被抓就法治阿，拿民主說嘴？,1
 中國只有得票率與執行率接近100%的政,0
 策,0
 支那畜牲,1
 柯粉：我們都是中國人,1
 有沒有人幫忙翻譯央視給英國人看看?,0
 這是好事~,0
 世界奇觀 kina真的要丟臉丟到全世界,0
 會被判刑嗎,0
 鬼國啥鬼事都有意外嗎,1
 在支那應該已經開三門了吧,1
 去電梯門口拉屎,0
 中國信黨   唯一民主(真主),0
 自慰成英國屈服哈哈哈,1
 歐豬都中標,1
 原來民主就是到你國家拉屎，你也不能說什麼,0
 孔琳琳 孔家後人耶 象徵中國的禮教呢,0
 出了中國 民主人權都回來了呢 打人巴掌還,0
 支那人說民主!!!  哇!!!,1
 可說是履行職務 厲害了你的國,0
" 幹,快笑死",0
 只敢在別的國家撒野的支那人,1
 肖豬母~~,1
 真棒,0
 有笑. 不過英國不是中國屬地嗎?,0
 看吧 英國實力不夠所以不敢大小聲,0
 喔英國好像沒死刑殘念,0
 難怪現在儒派的一出來講點什麼就被酸爆,0
 世界蟑螂，垃圾到哪都是垃圾,1
 中國螂又銀了,1
 鬧，繼續鬧，就怕中共人不出外腦殘鬧場,1
 支那不懂什麼是言論自由，言論自由不是當,1
 話語權在別人身上時大聲叫囂好嗎？,0
 支那或成最大贏家,1
 一樣共產極權北韓人好像沒這樣沒品,0
 我們需要牠們繼續鬧 什麼都不用做,0
 這國家的人真是瘋了...,0
 中國人到底有什麼毛病,1
 支那賤畜早該死絕,1
 這國家只相信力量，不講道理的,1
 支那日常,1
 總有種遲早八國聯軍再現的既視感..,0
 英已屈服壓力,0
 到處在別國地盤上撒野,0
" 不就是交保候傳,講得這麼厲害",0
 中國人又調皮了,0
 英國學一下瑞典好嗎？,0
 夏蟲語冰,0
 放心啦 過一陣子她就會移民美國了XD,0
 在中國發生這女的早就被關起來了！中國,0
 談民主就是好笑,1
 精神錯亂,1
 中國人又在世界到處秀下限了,1
 xDDDD,0
 反正是為了轉移國內焦點的一齣戲。,0
 中國人真的知道民主的定義嗎？,0
 還有五毛在這邊搖旗吶喊 低能,1
 白痴...未經羈押只能關24小時是普世法制,1
 中國霸權要統一地球航向宇宙了,1
 笑死 中國水準 不意外,1
 只有中國想關多久就關多久,0
 這跟分裂中國有屁關係啊那發言人....,0
 人家依法治國 只有中國以為是屈服...,0
 支那賤畜真 不要臉,1
 言論自由?我看了什麼...,0
 中國人=蟑螂人 中华民族=蟑螂民族,1
 鬧場打架是能關多久? 支那觀 XD,1
 有愛國同心會的既視感,0
 支那人真的是愛自慰到極點的民族欸,1
 精神勝利法,0
 這讓我想到以前的清朝時期......民粹,0
 你是活過清朝時期是不是XD 還民粹勒,0
 沒有民主哪來的民粹啦XDDDD 不要瞎七八亂講,0
" 中國這樣鬧可能關到死,所以覺得在英",0
 國24小時被釋放就是我大中國的淫威,1
 很顯然他們不知道言論自由是什麼,1
 可憐 跟台灣的9.2一樣 自小受教育的洗,1
 腦 把國家和專制政權的絕對統治綁在一,1
 或許她本身出了什麼事藉此來表忠...,0
 低能中狗人,1
 中國人只敢在外國講民主XD,0
 看成乳琳琳,0
 以前很封閉的時候 世界各國都對中國有幻,0
 想,0
 No! No! You have no right!你無權逮捕,0
 起 視人權與民主為畏途 一輩子成了專,0
 9.2想回中國 人卻在別國,1
 中國人真的不懂「民主」和「自由」的意思..,0
 制政黨的走狗 只要有人主張人權和民主,1
 的價值就是反中或漢奸 可憐 中國人看,1
 他們懂啊，就是他們想做啥就做啥,0
 說全世界最早的立憲議會君主制國家沒民主,0
 不透這點 就算再怎麼充實經濟與軍武,0
 中國沒有的到國外要,0
 厲害了 KINA國,0
 實力 中國也永遠不可能成為真正偉大,0
 的可以安居樂業的國家 當然啦 憑央視,0
 中國人在談民主wwwwwwwwwwwwwwwwwwww,1
 現在知道後 都只覺得幹你娘,1
 記者的地位 這位小姐也不只單純是威權,0
 說話顛三倒四的 根本就是來亂一波 讓共匪藉,1
 的走狗  還是共黨專政制度下的受益階,1
 此發揮中國式的影響力 宣揚中國又成最大贏家,0
 級 會用力當走狗也不意外的,1
 87逆,1
 Leave me along! 別碰我!我是女記者!,0
 支那沒有民主，反而要別人一定要民主，哈,1
 這樣說也沒錯，因為kina從小被教育民主,0
 =以中華人民共和國為主啊～,0
 XDDDDDDDDDDDDDDDDDDDDDDDDDD,0
 習皇帝果然溜，大顯神威 66666,1
 這樣算桶維尼一刀嗎 我們將要懷念她,0
 討人厭的本領w,0
 又潑辣又可愛,0
 支那論英國沒有民主xDDD,1
 狼性！果然不負世界蝗蟲之名！,1
 見鬼了,0
 更好笑的是自己沒有民主，還嗆人家英國,0
 沒有民主XD,1
 在兇幾點的?到底有多自卑呀?,1
 XDDDDDD,0
 出國了才想到民主重要性大概只有中國人,0
 丟臉,1
 支那賤畜 被八門全開的賤貨,1
 ...厲害了,0
 中國人民的理解真不是蓋的,0
 中國永遠不能成為有制度的令人嚮往的,0
 國家是可悲 把他國的民主當作中國人,1
 要是英國沒有民主，這記者早被種了…,0
 胡作非為的盾牌是可惡,0
 油黑譨賴,0
 中國人講民主講言論自由,0
" 英國沒民主的話,妳大概被抓去再教育了",0
 中國狗批評別人民主？,1
 低能支那,0
 支那譴責他國言論自由 真的會笑死我XDDDD,1
 看到蘋果截圖牠們的言論 全都是說打得好,0
 讓英國見識中國崛起 中國人民站起來了 這,0
 多舉辦的話 應該可以讓更多失控，然後給他,0
 種不知道是認真的還是反串的 好可怕,0
 抓起來哈哈,0
 愛國無罪闖天下,0
 牠們在肉搜被打的香港學生 說他港獨漢奸,1
 瘋了,0
 中國說英國沒有民主 笑死,1
" 犯我中華者,雖遠必誅!!!!!!",1
 大陸談言論自由？？？？,0
 支那人真的很愛在國外討民主,1
 支那畜生到處鬧事,1
 真是沒下限 完全沒羞恥心 全世界都是我,1
 中國潑撒打滾大便的地方嗎,1
 笑死了　支那賤畜說別人沒有民主？,1
 鬧到英國去，支那人真不怕被人看笑話,1
 中國人懂言論自由的界限，亂來怪罪不自由,0
 屈服咧..極權國家最好懂甚麼叫民主法治,1
 看來英國人比川普更了解中國人，香港牌還,0
 夠阿Q 英國又不是中國會扣留人不放,0
 是很有力的,0
 這種小案件根本沒羈押的必要,0
 無恥支那無下限,1
 中國人也懂言論自由,1
 厲害了 打人國,1
 厲害了你的國 人權也好意思拿來嘴,1
 真擔心台灣同業會淪落此下場,0
 中國狗到處拉屎還要別人清真噁,1
 中國豬說人沒民主，這哪個平行世界,1
 現在共匪要塑造中國是世界霸權的觀感 中國人,1
 在海外鬧就是中國崛起最大贏家 被海外人士制,0
 有種去跟習包子抗議，不用跟我說這麼多,1
 止就是西方白人在嫉妒 在害怕中國的實力 整,1
 個就是以為自己可以在世界上橫著走 可惜這觀,1
 感也只在共匪國內靠五毛吹噓才建立得起來,1
 果然是他鄉遇故支,1
 不過吹噓久了 一般民眾也都被洗腦膨風了 這,1
 中國人沒便溺已經很給面子了,1
 蘋果超好笑，頁面最底下還整理出分類好,0
 的系列報導,0
" 種鬧事行為會越來越多 中國會越來越""厲害了""",0
 中國是不是以為他國也可以隨便無限期關,0
 汪汪汪汪汪汪汪汪,1
 人阿?,1
 支那人應該要從世界上消失才對,1
 我操你媽的支那賤畜,1
 牠們可能不知道言論自由的意思吧,1
 很有螂性 很支那,1
 幹你媽中國人支那豬,1
 Kina談自由 如太監談做愛,1
 中國整天一直吠就好了,1
 流氓性都溢出來了,1
 因為英國是法治國家，不像貴國想把人,0
 關多久就關多久=.=,0
 呵呵 中國人不意外 噁,1
 看來中國人的水準真的提升的很慢,1
 支那水準真是不意外  怎麼有人會以這種國家,1
 為傲？  號稱中華文化呢！別再扯什麼中華,1
 神經病糞國,1
 文化在臺灣  臺灣不是中華  而是一個民主,0
 自由的國家  融合各種文化  別再拿臺灣來,0
 支那品質,1
 替你們中華坦了  中華就是個被八國聯軍的,1
 國際笑話！當年大概也是這樣弄到各國不爽,1
 瘋狂的國家養出瘋狂的人民,1
  才會開戰！,0
 支那水準真低 還談言論自由??搞笑嗎....,1
 笑死,1
 有趣,0
 本世紀最大笑話:支那賤畜懂言論自由,1
 支那賤畜幹你娘  世界癌細胞,1
 Kina痟仔,1
 中國人愛出國享受民主，濫用自由，在國內,0
 不能有異聲,0
 看就知道中國豬真的不知道什麼叫言論自由,1
 支人說英國沒民主wwww,1
 這很中國,1
 丟臉,0
 笑死,1
 賤畜滾回柵欄裡不要出來丟人現眼,1
 支那人，嘖嘖嘖,1
 她這種事情本來就沒有嚴重到需要拘留,0
 啊 中國是精神勝利哦？,1
 真的是掌刮英國。,0
 支那發表意見=瘋狗亂咬亂打人XDD,1
 竟然被關放認證 厲害了,1
 官方*,0
 共產黨最近到處在國外搞動亂耶，台,0
 灣瑞典英國，,0
 任何都上升到辱華，看來國內很需要,1
 轉移焦點，激化民族主義,1
 這叫發表意見？  共產黨邏輯真是屌,1
 這麼低級的行為還叫好？中國網友有病？,1
 支那賤種在國外這麼囂張就應該宰一宰丟,1
 海裡,0
 看到支那賤種發病就是像對畜牲一樣打一,1
 打就會乖了 打了還不乖就只能說你打的太,0
 輕了,0
 又是記者又是支那人 雙重悲劇,1
 .,0
 支那賤畜丟人現眼,1
 支那人談民主XDDDDDDDD,1
 民主是讓你可以隨便揍人喔?哪來的智障?,1
 因為沒言論自由，所以搞不清楚言論自由不是,1
 這樣用的嗎？,0
 交保跟釋放傻傻分不清,0
 只會在國外吵民主 敢去人大吵嗎？笑死,1
 支那真是世界亂源，丟臉到無極限,1
 支那也懂民主 言論自由?哈哈哈,1
 當初要不是英國人罩 你們現在還是清,0
 大英帝國，還行,0
 本日最好笑就是你了,0
 在人家的場子叫囂是記者的[言論自由]嗎？,1
 中國正常能量釋放,1
 民主??? XDDDDDDDDDD,1
 噁心的中國腔,1
 也是啦，在中國不愛國是直接關到死,1
 支那最民煮,1
 支那人:英國以跪舔!,1
 言論自由就是send tree pay,1
 在表達自由的國家隨便打人,0
 屎支那,1
 丟人現眼,1
 哈哈，又去國外討民主。,1
 支那真的是白癡組成的弱智國家,1
 哈哈  厲害了我的國  垃圾支那,1
 中國人到底知不知道民主是外來語？ 還,1
 是從日本傳來的 XD,0
 支那人又在標題自慰,1
 垃圾巨嬰國,1
 英國果然縮了,0
 人渣賤狗 幹你娘機掰央視,1
 大家應該要高興呀 中國繼續這樣做,0
 屈於壓力把她釋放XD，如果在中國會一直被,0
 扣押嗎？好怕怕,0
 只會把朋友一個個斷光光 對台灣有利,0
 笑了 支那最民主,1
 這個中國記者的行為在中國，早就被送進精,0
 神病院了,1
 沒言論自由的國家，還以為自由就是可,1
 以妨礙他人自由,1
 學學瑞典好嗎,0
 意見不同就動手動腳，還說人沒民主自由  XD,1
 支那人就這種水準還一堆白癡想被他們統,1
 中國噁噁噁噁噁噁噁,1
 蠢,1
 支那懂言論自由?,1
 支那狗  噁心,1
 海珊總統最不愛打仗 戈巴契夫頭髮最長,0
 真聰明，她一定升職,0
 中國人真的很不怕丟臉欸...,1
  https://disp.cc/b/18-aRpV (央视女记者在英,0
 真爽，不像覺青媽媽當慰安婦還要幫主子屬,1
 錢,0
 支那閉嘴啦XD，很愛給人指手劃腳耶，,1
 明明很正常的事也要扯到民主自由，不,0
 懂就別出來丟人現眼,1
 夏蟲不可語冰 支那不可語自由,1
 神經病 這種小罪一定會釋放的 以為都跟,1
 中國一樣不需罪名人直接失蹤嗎?,1
 支那賤畜沒救了，人類毒瘤,1
 支那妓者,1
 支那有民主？？ 被維尼洗腦洗壞了,1
 人治國家搞不懂法治國家怎會在短時間放人,0
 中國三寶,1
 我發現heartblue上次護航中國被打臉後,1
 支那的低能不容質疑,1
 現在對於中國低能新聞都不敢再吭聲了 XDD,1
 只敢在現在八卦版順風挺韓國瑜 好可憐 QQ,1
 中國最民主 有言論自由 哈哈大笑,1
 噁心的垃圾.....................,1
 支那不會玩民主 別意外,1
 中國以為言論自由就是想說啥就說啥，都不,1
 必為自己的話負責,1
 香港人：「我支持中國」,0
 中國記者：「你反中，你想分裂中國，你連,0
 中國人都不是」,0
 叭叭抓到了～中國女記者港毒～,1
 厲害了支那國！,1
 螂性,1
 有種回國喊中國沒民主，87,1
 好噁心= =,1
 支那人真是垃圾,1
 無言,0
 中國人都有被害妄想症...不過看了,1
 很舒壓,0
 哈哈哈哈哈哈哈,0
 她回過可以橫著走了 聰明,1
 英國小孬孬屈服中共不意外，誰叫你是最,1
 早舔共西方國家,1
 自己沒民主到處利用他國民主撒野的中國人,1
 拜託畜閘請關好，別放出來危害地球,1
 中國式民主 讚喔,1
 支那在那邊管別國的民主哈哈,1
 支那人去英國罵人沒權利 XD,1
 中國香港不再是英屬香港,0
 中國最民主，中國最有言論自由。,1
 垃圾中國人,1
 支那又不標榜民主跟言論自由 英國說,1
 的自己多麼自由也不過如此,0
 這就是中國人，中國人哪！,0
 去跟中國公安講you have no rights,0
 啊 哈哈哈,0
 支那狗又在自慰,1
 聯軍醞釀中,0
 D能,1
 可悲這種行為有人支持,1
 帶種去天安門喊要民主啊,0
 中國人最愛這一味,0
 有種回Kina說要言論自由啊瞎高潮什麼,1
 中國嗆人沒有民主？超好笑,1
 這戲演的好回來升官,0
 支那蝗害,1
 又秀下限……,1
 賤畜就是賤畜,1
 支那邏輯堪慮,1
 整天吃民主國家豆腐 廢物,1
 五毛們看清楚了，這就是為什麼你們走到那,1
 被討厭到哪的原因,1
 難怪大家都討厭支那不是沒原因的,1
 賤畜水準,1
 You have no lights,0
 這行為不就英國愛國同心會 工作型態就,0
 是這樣鬧事 反正有黨的金援 小罪交保頂,0
 多罰款 還吹成對英國施壓放人 XD 五毛,1
 沒見過世面嗎,0
 真的 如果在沒有言論自由都支那國 早就精,1
 神病了,1
 中國人就是以為言論自由就能亂講話，,1
 所以才一堆爬牆跑到ptt帶風向,0
 支那人說英國沒有民主XDD,1
 這就是中國人,0
 利害了你的國,1
 下賤支那太監,1
 不愧為支那賤畜,1
 厲害了 我的支,1
 支那真的很噁心又可笑,1
 我實在是想不到有比支那人更智障的人,1
 了,0
 支那哈哈,1
 大家閉嘴!!!你們要尊重我的言論自由!!!!,0
 哈,0
 支那賤畜真的很噁爛，看了就討厭,1
 有夠噁心,1
 KINA有民主 KINA五毛最有權 XDDDD,1
  支那人沒民主因該很習慣啊 幹嗎罵？,1
 ㄏㄏ,0
 支那又要用民主反民主惹,1
 真的好棒棒 英國小孬孬,1
 瘋子國家瘋子人民 台灣還是他鄰居 哀,1
 看來一百多年前的事情又要重演了,0
 支那人只有資格說北韓沒民主而已吧,1
 支那素質,1
 智障,1
 支障,1
 妳在中國議會敢這樣妳當天就消失了 皇帝講話,0
 妳出什麼嘴,1
 沒關好跑出來的支那賤民,1
 民主、自由本來就建立在能力以上，不然,0
 看看窮人談什麼權利。,1
 在支那肯定被懷念,1
 有本事在自己國家這樣啊 智仗,1
 關英國監獄也比回支那爽 聰明人!!!,0
 全國都是垃圾,1
 越來越覺得中國人超噁心,1
 小罪本來就不會雞鴨，但後面被吉要賠錢,1
 可悲討不到關懷，只能靠央視自我摧眠！,1
 義和團：「扶清滅洋。」,0
 支那豚到處下溪夏景,1
 逮到升官機會的記者，能不鬧嗎？,1
 中國記者腦袋有洞 中國人要求別人民主和,1
 言論自由最可笑,1
 支那賤畜無誤,1
 英國的優越感在面對錢時永遠不會出現～,0
 言論自由不包含打人，智障支那沒文化,1
 打人還被放 英國在幹嘛？,0
 支那人不懂自由國家的法律，以為跟他們,1
 一樣要關到死XD,1
 支那垃圾幹你娘,1
 奇怪怎麼不去維尼面前喊一下你們沒有民主,1
 咧？,0
 這種不都做完筆錄就放了嗎,0
 笑死,1
 支那就這種水準啊 你們很意外？,1
 真他媽智障,1
 牠也只敢對香港留學生發瘋 英國人從後面,1
 抓住手臂 根本不敢反抗,0
 再次證明 中國人只敢打中國人,0
 跟柯黑有八成像,1
 英國可是頗傾中習訪英女王夫妻都出面了,0
 支那水準,1
 民主聖地沒有民主,1
 英國沒有民主？支那邏輯不意外,1
 支那水準,1
 真的是有病,1
 Kina,0
 幹  支那蕭婆,1
 魯迅的阿Q正傳真是神預言,0
 支那玻璃賤種,1
 中國或成最大贏家 (咦？,0
 中國人喊言論自由？ 哈哈哈哈哈哈,1
 支那蟑螂 是不是真的是中國政府派的,1
 可憐,1
 支那真的是國際認證的丟臉......,1
 英國跟中國走那麼近，苦果自負,0
 英國應該把支那肉便器直接驅逐出境才對啊,1
 支那人不懂各國這麼容忍就是民主自由了,1
 整天出國找解放,0
 這麼不合禮儀的事情發生了 也沒讓你被消失,0
 以後支那記者都拿膠布貼住嘴再放他入場,1
 整個國家上下都是習慣耍賴的性格,1
 87,1
 支那人自己沒民主 去國外跟人吵民主 白,1
 不然是要跟關范冰冰一樣嗎？,0
 神經 在全世界各地惹是生非,1
 智障支那，明明就是扣留時間到了,1
 叫女記者回國內看看說得說不出沒有民主,1
 怎麼狗國人到國外開始一付狗樣,1
 看得出來年輕時候應該很正,0
 支那賤畜,1
" 強國人又在護短了,可悲",1
 幹 中國真他媽沒救 全世界都知道支,1
 那的嘴臉了 可悲,1
 大不列顛 好孬,1
 上一個瑞典 現在輪到英國了嗎,0
 英國人超爛的,1
 中國人說英國人沒有民主XD,1
 本來就不會關多久啊。,0
 肏支那感在你們國內要求言論自由嗎？,1
 正常扣24H 不是嗎,0
 這廝的兒子被英國學校開除了uccu,1
 畜牲狗國支那嘴臉,1
 https://i.imgur.com/NnXy5Pf.png,0
 觀念正確.房東有房東的尊嚴,0
 稅率太低養一堆垃圾拖累台灣,1
 所以才說空屋稅很重要 但沒人敢碰,0
 這稅怎算,0
 這幾年柯市長打房有成這種事幾乎沒了,0
 每月租金一千萬真的好爽......,0
 夭壽月薪百萬,0
 空屋課下去阿!忘記現在是資進黨執政了!,1
 東區店面的大戶不是自然人,0
 真想看房東上街,0
 想到一堆魯蛇在那說人蠢就好笑,1
 看錯一個月就千萬了年薪破液,0
 囤房稅就被議員調降的呀！幹,1
 億,0
 對地主而言 降價本來就比租不出去嚴重,0
 改逛信義區,0
 租不出去就漲價租啊,0
 今天一個降價了 其他店面也會吵著要降,0
 空屋率6%根本不用降價,0
 資進黨才不會課,1
 林榮四? 林榮五?,0
 ?? 很好奇 空屋稅 要怎麼查核???,0
 6%是包含住宅吧,0
 其它國家有先例媽,0
 可以課空屋稅及租屋稅,0
 課重一點啊 無能政府,1
 空屋稅 囤房稅 就是不立法啊,0
 房東:你們根本不知道錢多到花不完的可,1
 持有稅很低，2千的房子稅比2百萬汽車少,0
 怕,0
 有錢真好.....羨慕嫉妒噓,0
 說個笑話 居住正義,1
 共產國家應該就抄了吧,0
 你降價租搞不好被附近高價房東潑漆咧,1
 窮人比較好壓榨,1
 破壞市場行情,0
 空屋税？花錢請個工讀生去住就好了☺,1
 呵呵,1
 垃圾議員一直在擋跟房子相關的稅啊,1
 不是說忠孝東路整排一堆是費玉清的,0
 立委,0
 妨礙經濟的元兇,1
 在台北市怪民進黨不課空屋稅 ，帶風向,0
 真噁心,1
 凸,1
 這個應該要嚴懲或者低價徵收什麼的,0
 真棒 一個人就可以左右地方興衰 賺飽了集,0
 體拉高不租 東區一片死水進駐產業崩潰 讚,1
 就是稅啊 政府只會圖利資產階級,1
" 亂寫一通,有10間店面就敢講最大房東?",0
 垃圾政客,1
 那就不要租啊!,0
 就不缺錢 但商圈沒人都擠到百貨公斯,0
 囤房成本太低了,0
 早就說過了(茶~)真正的大戶老房東沒在怕,0
 租不出去的 因為前面賺太飽了,0
 肥肉在此 政府不敢吃,1
 真正的大戶就是對房地產鑑價的單位 球員兼,0
 裁判,0
 翻譯：伶盃政客金主 稅這麼低又不會痛,1
 一堆東區店面持有人是某某商業銀行 這才大,0
 月收千萬 搞不好比工作年薪百萬繳稅少,1
 黨工自己風向帶不成哈哈,1
 昨天高雄那個要租40萬的 看來也一樣心態,1
 怎麼不公布姓名啊，看能不能人肉出來，,0
 抓起來殺掉,1
 一個月一千萬真的好爽...,0
 少賺一個月等於要他們的命，沒有不急的,0
 觀念正確 租不出去就加價租,0
 垃圾炒房屯屋去死,1
 有錢人不會嫌錢多，永遠沒有賺飽的想法,0
 囤房稅都被偷襲，還想降租?,1
 炒房政府^^,1
 現在都往信義區西區跑 加油！堅持下去,0
 所以要加稅吧，幹 根本不痛不養,1
 政府再睡啊,1
 空太久一樣損失,0
 難怪富者越富 貧者QQ,0
 房東就是不事生產又破壞發展的米蟲,1
 好喔..等10間都閒置的時候再繼續嗆沒差~,1
 台北市空屋稅是藍綠降的 別再抹給柯好嗎,0
 寧缺勿濫 佛系房東  會租的人自己會來…,0
 期待下一個天母商圈,0
 每個月租金一千萬? 真的假的...,0
 讓他沒落阿 別當盤子給房東宰,0
 說個笑話 本來就是不同的世界 怎比阿,0
 連戰就是你,1
 他們不缺錢 …消耗戰也是他們贏,0
 躺著月入一千萬..,0
 賴功德自己死不敢提房價 民進黨工還整天,1
 賴給柯XD,0
 月入一千萬 沒有成本問題...幹,0
 這就對了。 放著讓他東區變蕭條 也是,0
 房東的自由啊,0
 鬼島日常,1
 趕羚羊難怪經濟不好 都被這種無生產力的,1
 完全執政柯P負責真的爽 藍綠都在護金主,0
 炒房政府,1
 大陸收購東區所有店面全部關門 東區就倒了,0
 囤房的每個月課3%的房價稅金就會怕了,0
 早賺回本好幾倍了 現在租出去的都是多的,0
 持有稅率太低，政客繼續降稅,0
 設個法律空屋稅按照近年最高租金去收,0
 這算什麼 建國北路三段兩棟商辦閒置三十年,0
 才屌,0
 7777777777777,0
 1個月的租金可以撐50年的稅,0
 炒房躺著賺,1
 台灣遲早如明朝 亡於土地兼併,0
 口袋深 @.<,0
 沒有不景氣，是你沒房地,0
 一千萬 好扯,0
 行情維持比較重要,0
 持有成本很低,0
 垃圾政府只會亂收百姓的錢,1
 賴清德擔任市長時調漲房屋稅，柯文哲呢？,0
 主要就是稅超低 上位者都在睡,1
 不能得罪金主,1
 更猛的還有企業花錢養地蓋房,1
 房東就是種沒生產力的行業,1
 搞不好集團持有ㄚ，要養一堆人,0
 可惡什麼事都不做薛一堆錢,0
 勝過降低租金租給低能夾娃娃店，那才真,0
 的是浪費土地,0
 柯：打房台灣會完蛋,0
 加價租才是台灣的玩法,0
 比起錢，觀感更重要，一堆親友期待降價看,0
 笑話的，當然死都不降囉。,0
 曾經當作店面使用的空屋應該增加持有,0
 成本,0
 天龍人好貪阿,1
 反正不甘我魯蛇的事,0
 囤房稅一堆憨包議員在檔啊,1
 臺灣沒空屋稅這種東西嗎，房東有恃無恐的,0
 月收千萬早就飽到撐了 不降無所謂,0
